tag,patterns,responses,patterns_str,responses_str
greeting,hi,hello there. tell me how are you feeling today?,Hi Hey Is anyone there? Hi there Hello Hey there Howdy Hola Bonjour Hay Sasa Good Evening Good afternoon,Hello there. Tell me how are you feeling today? Hi there. What brings you here today? Hi there. How are you feeling today? Great to see you. How do you feel currently? Hello there. Glad to see you're back. What's going on in your world right now?
greeting,hi,hi there. what brings you here today?,Hi Hey Is anyone there? Hi there Hello Hey there Howdy Hola Bonjour Hay Sasa Good Evening Good afternoon,Hello there. Tell me how are you feeling today? Hi there. What brings you here today? Hi there. How are you feeling today? Great to see you. How do you feel currently? Hello there. Glad to see you're back. What's going on in your world right now?
greeting,hi,hi there. how are you feeling today?,Hi Hey Is anyone there? Hi there Hello Hey there Howdy Hola Bonjour Hay Sasa Good Evening Good afternoon,Hello there. Tell me how are you feeling today? Hi there. What brings you here today? Hi there. How are you feeling today? Great to see you. How do you feel currently? Hello there. Glad to see you're back. What's going on in your world right now?
greeting,hi,great to see you. how do you feel currently?,Hi Hey Is anyone there? Hi there Hello Hey there Howdy Hola Bonjour Hay Sasa Good Evening Good afternoon,Hello there. Tell me how are you feeling today? Hi there. What brings you here today? Hi there. How are you feeling today? Great to see you. How do you feel currently? Hello there. Glad to see you're back. What's going on in your world right now?
greeting,hi,hello there. glad to see you're back. what's going on in your world right now?,Hi Hey Is anyone there? Hi there Hello Hey there Howdy Hola Bonjour Hay Sasa Good Evening Good afternoon,Hello there. Tell me how are you feeling today? Hi there. What brings you here today? Hi there. How are you feeling today? Great to see you. How do you feel currently? Hello there. Glad to see you're back. What's going on in your world right now?
greeting,hey,hello there. tell me how are you feeling today?,Hi Hey Is anyone there? Hi there Hello Hey there Howdy Hola Bonjour Hay Sasa Good Evening Good afternoon,Hello there. Tell me how are you feeling today? Hi there. What brings you here today? Hi there. How are you feeling today? Great to see you. How do you feel currently? Hello there. Glad to see you're back. What's going on in your world right now?
greeting,hey,hi there. what brings you here today?,Hi Hey Is anyone there? Hi there Hello Hey there Howdy Hola Bonjour Hay Sasa Good Evening Good afternoon,Hello there. Tell me how are you feeling today? Hi there. What brings you here today? Hi there. How are you feeling today? Great to see you. How do you feel currently? Hello there. Glad to see you're back. What's going on in your world right now?
greeting,hey,hi there. how are you feeling today?,Hi Hey Is anyone there? Hi there Hello Hey there Howdy Hola Bonjour Hay Sasa Good Evening Good afternoon,Hello there. Tell me how are you feeling today? Hi there. What brings you here today? Hi there. How are you feeling today? Great to see you. How do you feel currently? Hello there. Glad to see you're back. What's going on in your world right now?
greeting,hey,great to see you. how do you feel currently?,Hi Hey Is anyone there? Hi there Hello Hey there Howdy Hola Bonjour Hay Sasa Good Evening Good afternoon,Hello there. Tell me how are you feeling today? Hi there. What brings you here today? Hi there. How are you feeling today? Great to see you. How do you feel currently? Hello there. Glad to see you're back. What's going on in your world right now?
greeting,hey,hello there. glad to see you're back. what's going on in your world right now?,Hi Hey Is anyone there? Hi there Hello Hey there Howdy Hola Bonjour Hay Sasa Good Evening Good afternoon,Hello there. Tell me how are you feeling today? Hi there. What brings you here today? Hi there. How are you feeling today? Great to see you. How do you feel currently? Hello there. Glad to see you're back. What's going on in your world right now?
greeting,is anyone there?,hello there. tell me how are you feeling today?,Hi Hey Is anyone there? Hi there Hello Hey there Howdy Hola Bonjour Hay Sasa Good Evening Good afternoon,Hello there. Tell me how are you feeling today? Hi there. What brings you here today? Hi there. How are you feeling today? Great to see you. How do you feel currently? Hello there. Glad to see you're back. What's going on in your world right now?
greeting,is anyone there?,hi there. what brings you here today?,Hi Hey Is anyone there? Hi there Hello Hey there Howdy Hola Bonjour Hay Sasa Good Evening Good afternoon,Hello there. Tell me how are you feeling today? Hi there. What brings you here today? Hi there. How are you feeling today? Great to see you. How do you feel currently? Hello there. Glad to see you're back. What's going on in your world right now?
greeting,is anyone there?,hi there. how are you feeling today?,Hi Hey Is anyone there? Hi there Hello Hey there Howdy Hola Bonjour Hay Sasa Good Evening Good afternoon,Hello there. Tell me how are you feeling today? Hi there. What brings you here today? Hi there. How are you feeling today? Great to see you. How do you feel currently? Hello there. Glad to see you're back. What's going on in your world right now?
greeting,is anyone there?,great to see you. how do you feel currently?,Hi Hey Is anyone there? Hi there Hello Hey there Howdy Hola Bonjour Hay Sasa Good Evening Good afternoon,Hello there. Tell me how are you feeling today? Hi there. What brings you here today? Hi there. How are you feeling today? Great to see you. How do you feel currently? Hello there. Glad to see you're back. What's going on in your world right now?
greeting,is anyone there?,hello there. glad to see you're back. what's going on in your world right now?,Hi Hey Is anyone there? Hi there Hello Hey there Howdy Hola Bonjour Hay Sasa Good Evening Good afternoon,Hello there. Tell me how are you feeling today? Hi there. What brings you here today? Hi there. How are you feeling today? Great to see you. How do you feel currently? Hello there. Glad to see you're back. What's going on in your world right now?
greeting,hi there,hello there. tell me how are you feeling today?,Hi Hey Is anyone there? Hi there Hello Hey there Howdy Hola Bonjour Hay Sasa Good Evening Good afternoon,Hello there. Tell me how are you feeling today? Hi there. What brings you here today? Hi there. How are you feeling today? Great to see you. How do you feel currently? Hello there. Glad to see you're back. What's going on in your world right now?
greeting,hi there,hi there. what brings you here today?,Hi Hey Is anyone there? Hi there Hello Hey there Howdy Hola Bonjour Hay Sasa Good Evening Good afternoon,Hello there. Tell me how are you feeling today? Hi there. What brings you here today? Hi there. How are you feeling today? Great to see you. How do you feel currently? Hello there. Glad to see you're back. What's going on in your world right now?
greeting,hi there,hi there. how are you feeling today?,Hi Hey Is anyone there? Hi there Hello Hey there Howdy Hola Bonjour Hay Sasa Good Evening Good afternoon,Hello there. Tell me how are you feeling today? Hi there. What brings you here today? Hi there. How are you feeling today? Great to see you. How do you feel currently? Hello there. Glad to see you're back. What's going on in your world right now?
greeting,hi there,great to see you. how do you feel currently?,Hi Hey Is anyone there? Hi there Hello Hey there Howdy Hola Bonjour Hay Sasa Good Evening Good afternoon,Hello there. Tell me how are you feeling today? Hi there. What brings you here today? Hi there. How are you feeling today? Great to see you. How do you feel currently? Hello there. Glad to see you're back. What's going on in your world right now?
greeting,hi there,hello there. glad to see you're back. what's going on in your world right now?,Hi Hey Is anyone there? Hi there Hello Hey there Howdy Hola Bonjour Hay Sasa Good Evening Good afternoon,Hello there. Tell me how are you feeling today? Hi there. What brings you here today? Hi there. How are you feeling today? Great to see you. How do you feel currently? Hello there. Glad to see you're back. What's going on in your world right now?
greeting,hello,hello there. tell me how are you feeling today?,Hi Hey Is anyone there? Hi there Hello Hey there Howdy Hola Bonjour Hay Sasa Good Evening Good afternoon,Hello there. Tell me how are you feeling today? Hi there. What brings you here today? Hi there. How are you feeling today? Great to see you. How do you feel currently? Hello there. Glad to see you're back. What's going on in your world right now?
greeting,hello,hi there. what brings you here today?,Hi Hey Is anyone there? Hi there Hello Hey there Howdy Hola Bonjour Hay Sasa Good Evening Good afternoon,Hello there. Tell me how are you feeling today? Hi there. What brings you here today? Hi there. How are you feeling today? Great to see you. How do you feel currently? Hello there. Glad to see you're back. What's going on in your world right now?
